,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
17915,2017-09-28,OO,SAT,DTW,1214.0,5
9370,2017-09-29,NK,ORD,MYR,753.0,4
13735,2017-09-24,EV,EWR,AVP,93.0,1
4544,2017-09-30,WN,SAN,PHX,304.0,2
4804,2017-09-22,UA,EWR,LAX,2454.0,10
7787,2017-09-15,DL,IAD,SLC,1828.0,8
9339,2017-09-24,EV,IAH,MEM,468.0,2
17048,2017-09-19,OO,SEA,DEN,1024.0,5
10349,2017-09-08,WN,DAL,BUR,1243.0,5
1359,2017-09-07,WN,MKE,BWI,641.0,3
9537,2017-09-30,WN,HOU,ATL,696.0,3
6372,2017-09-05,UA,IAH,DFW,224.0,1
8275,2017-09-24,OO,MDT,DTW,371.0,2
16423,2017-09-21,DL,ATL,GRR,640.0,3
8349,2017-09-25,OO,DEN,ASE,125.0,1
7408,2017-09-01,WN,PHX,ATL,1587.0,7
12494,2017-09-18,OO,BIS,DEN,516.0,3
4535,2017-09-27,EV,CHS,IAH,925.0,4
15629,2017-09-24,DL,MCO,SLC,1931.0,8
7090,2017-09-18,OO,ORD,ICT,588.0,3
14900,2017-09-04,VX,BOS,LAX,2611.0,11
145,2017-09-01,WN,BWI,SDF,495.0,2
3366,2017-09-28,WN,AUS,DCA,1315.0,6
2636,2017-09-30,WN,BUR,SMF,358.0,2
17038,2017-09-21,DL,MCI,ATL,692.0,3
1662,2017-09-07,F9,SAT,ORD,1041.0,5
19848,2017-09-06,WN,MCI,LAX,1363.0,6
6348,2017-09-30,OO,PHX,SGU,262.0,2
14603,2017-09-13,WN,BNA,BWI,587.0,3
2727,2017-09-21,AA,PHX,SFO,651.0,3
6673,2017-09-02,WN,OMA,MDW,423.0,2
5357,2017-09-19,DL,SEA,ATL,2182.0,9
9432,2017-09-06,B6,BOS,BUF,395.0,2
6699,2017-09-25,DL,PBI,DTW,1086.0,5
